Volume [m^3],Pressure [Pa],Velocity [m/s]
2.10E-07,207142.055,0.007810104
2.17E-07,206656.803,0.030195081
2.53E-07,207140.864,0.022342067
2.62E-07,206654.979,0.053389673
2.75E-07,207142.3,0.021811389
2.75E-07,207140.425,0.027721937
2.84E-07,206654.316,0.054844876
2.84E-07,206650.934,0.054966789
3.32E-07,207140.394,0.041509466
3.32E-07,207136.115,0.049388349
3.42E-07,206652.492,0.073450645
3.42E-07,206646.44,0.066250713
2.17E-07,206158.064,0.060533775
2.17E-07,205658.833,0.088724351
2.62E-07,206156.347,0.0880791
2.62E-07,205656.166,0.117818786
2.84E-07,206153.15,0.084232032
2.84E-07,206147.46,0.085417991
2.84E-07,205654.135,0.111115954
2.84E-07,205648.219,0.112645261
3.42E-07,206151.172,0.098022205
3.42E-07,206144.32,0.078874069
3.42E-07,205650.91,0.116680025
3.42E-07,205643.92,0.090470426
2.75E-07,207136.858,0.033100774
2.75E-07,207132.864,0.032178387
2.84E-07,206645.207,0.059627944
2.84E-07,206640.759,0.055704375
3.32E-07,207130.099,0.055234962
3.32E-07,207124.83,0.057124951
3.42E-07,206639.776,0.06209404
3.42E-07,206634.784,0.058701435
2.75E-07,207131.18,0.027320399
2.75E-07,207132.609,0.03900099
2.84E-07,206637.636,0.056041698
2.84E-07,206635.028,0.086587932
3.32E-07,207121.383,0.057911103
3.32E-07,207118.76,0.064551913
3.42E-07,206630.269,0.060343798
3.42E-07,206624.52,0.068116122
2.84E-07,206141.351,0.092110517
2.84E-07,206136.799,0.088654398
2.84E-07,205642.574,0.119441161
2.84E-07,205638.128,0.1150835
3.42E-07,206137.758,0.070238282
3.42E-07,206132.827,0.064766773
3.42E-07,205637.924,0.078847775
3.42E-07,205633.311,0.073774564
2.84E-07,206132.63,0.090162656
2.84E-07,206129.847,0.120799755
2.84E-07,205634.165,0.11585993
2.84E-07,205631.495,0.139556801
3.42E-07,206128.524,0.066522444
3.42E-07,206121.778,0.071182488
3.42E-07,205629.384,0.076501915
3.42E-07,205623.308,0.079250342
2.17E-07,205167.061,0.115282282
2.17E-07,204683.34,0.139463876
2.62E-07,205158.876,0.138421669
2.62E-07,204665.821,0.149916206
2.84E-07,205159.304,0.135524033
2.84E-07,205153.722,0.136004026
2.84E-07,204672.535,0.154980062
2.84E-07,204667.141,0.154882865
3.42E-07,205153.499,0.127623232
3.42E-07,205146.238,0.096727183
3.42E-07,204658.6,0.131770822
3.42E-07,204649.395,0.102028205
2.17E-07,204193.053,0.153962569
2.17E-07,203702.973,0.156341091
2.62E-07,204173.319,0.153103162
2.62E-07,203681.206,0.151710722
2.84E-07,204180.598,0.168518783
2.84E-07,204170.207,0.17034907
2.84E-07,203690.219,0.174697202
2.84E-07,203682.205,0.181028424
3.42E-07,204165.099,0.133483148
3.42E-07,204154.509,0.110118428
3.42E-07,203672.503,0.134294116
3.42E-07,203660.002,0.119230791
2.84E-07,205152.587,0.141937634
2.84E-07,205148.515,0.135724923
2.84E-07,204661.221,0.156462982
2.84E-07,204656.949,0.148789765
3.42E-07,205140.799,0.084716617
3.42E-07,205135.896,0.081716854
3.42E-07,204638.255,0.094722409
3.42E-07,204632.921,0.095004627
2.84E-07,205146.803,0.134684722
2.84E-07,205139.297,0.149980733
2.84E-07,204654.869,0.146744458
2.84E-07,204648.711,0.157516972
3.42E-07,205131.2,0.085935141
3.42E-07,205124.223,0.09042122
3.42E-07,204629.477,0.099711873
3.42E-07,204627.302,0.103089658
2.84E-07,204163.105,0.166394005
2.84E-07,204157.908,0.162699845
2.84E-07,203672.091,0.178587592
2.84E-07,203665.609,0.177927025
3.42E-07,204149.152,0.104762147
3.42E-07,204147.147,0.100930922
3.42E-07,203661.044,0.108085293
3.42E-07,203659.326,0.100637581
2.84E-07,204152.914,0.160187823
2.84E-07,204150.632,0.167885035
2.84E-07,203661.826,0.173538846
2.84E-07,203660.197,0.179653082
3.42E-07,204144.679,0.102549663
3.42E-07,204142.989,0.103191083
3.42E-07,203656.28,0.10071921
3.42E-07,203654.991,0.102263579
2.17E-07,203219.162,0.151295176
2.17E-07,202741.308,0.140644288
2.62E-07,203192.525,0.148087266
2.62E-07,202708.502,0.141395467
2.84E-07,203205.051,0.173848174
2.84E-07,203198.245,0.186319057
2.84E-07,202725.279,0.166770656
2.84E-07,202710.18,0.187181353
3.42E-07,203181.313,0.132721237
3.42E-07,203168.817,0.128494346
3.42E-07,202695.35,0.128261394
3.42E-07,202691.696,0.128678574
2.17E-07,202268.846,0.124042134
2.17E-07,201799.356,0.102198402
2.62E-07,202228.972,0.131011986
2.62E-07,201754.138,0.118054217
2.84E-07,202250.246,0.154736417
2.84E-07,202236.567,0.181531689
2.84E-07,201777.337,0.136096218
2.84E-07,201771.004,0.1651331
3.42E-07,202214.206,0.118840129
3.42E-07,202215.174,0.123475816
3.42E-07,201739.208,0.103728707
3.42E-07,201744.946,0.119543968
2.84E-07,203185.586,0.191352722
2.84E-07,203181.133,0.187953855
2.84E-07,202703.903,0.197553208
2.84E-07,202706.382,0.19523208
3.42E-07,203174.447,0.113650771
3.42E-07,203173.851,0.107768358
3.42E-07,202691.8,0.120281188
3.42E-07,202693.075,0.115757884
2.84E-07,203177.565,0.181888737
2.84E-07,203174.123,0.189179917
2.84E-07,202706.506,0.188921631
2.84E-07,202704.207,0.198481546
3.42E-07,203171.671,0.107225126
3.42E-07,203168.904,0.106810483
3.42E-07,202691.89,0.115157037
3.42E-07,202687.139,0.113230553
2.84E-07,202237.514,0.192235586
2.84E-07,202249.153,0.191754812
2.84E-07,201785.144,0.175058375
2.84E-07,201816.368,0.171573947
3.42E-07,202216.939,0.1274775
3.42E-07,202222.47,0.127806913
3.42E-07,201754.131,0.132527646
3.42E-07,201768.41,0.143123125
2.84E-07,202251.973,0.185890324
2.84E-07,202253.077,0.197431333
2.84E-07,201831.42,0.16192539
2.84E-07,201841.655,0.173368325
3.42E-07,202223.836,0.12973438
3.42E-07,202218.277,0.131858425
3.42E-07,201774.245,0.154386178
3.42E-07,201773.482,0.163106929
2.17E-07,201331.485,0.078802257
2.17E-07,200861.012,0.060793747
2.62E-07,201283.803,0.104360735
2.62E-07,200814.446,0.093689071
2.84E-07,201307.62,0.116801996
2.84E-07,201301.425,0.147305902
2.84E-07,200832.213,0.115709204
2.84E-07,200829.78,0.148715142
3.42E-07,201265.67,0.084956809
3.42E-07,201274.428,0.11042443
3.42E-07,200790.623,0.078049252
3.42E-07,200798.109,0.099738496
6.39E-08,200550.7,0.055304069
7.71E-08,200506.483,0.092793223
8.36E-08,200522.699,0.113788632
8.36E-08,200514.604,0.139625632
