Pressure [Pa],Velocity [m/s]
87071.7455,0.348147222
87102.6506,0.27144932
87071.7455,0.348147222
86944.0403,0.376234422
86944.0403,0.376234422
85317.0724,0.52861874
86854.0889,0.279369208
86975.0221,0.748245621
86943.0607,0.916597019
86852.8271,1.05746375
86907.3558,1.79652347
86075.5494,0.796763128
86783.0381,1.05968014
85395.3127,0.978607315
86232.088,1.82196601
86756.7924,1.06445547
86927.3905,1.39939666
86699.2908,0.316662661
86699.2908,0.316662661
85511.8367,1.06440515
86238.6523,1.42472744
86541.6348,0.375219318
81179.4638,0.690566973
84876.0628,1.27677135
80877.1588,0.616727908
84716.3116,1.91309477
86430.7334,1.48079217
85926.1042,1.95928443
82999.1715,1.58123942
82999.1715,1.58123942
82999.1715,1.58123942
85636.5658,1.85141732
87062.4554,0.094371294
87168.0354,0.09808611
87296.7997,0.142651616
87460.353,0.25924272
86870.0114,1.47622463
86572.8266,1.88133527
87085.7418,1.48886156
86963.5296,1.86487502
86392.1757,1.79497489
86857.559,1.78218841
87265.1552,1.49817675
87215.7065,1.86216835
87447.0187,1.5022885
87423.2364,1.86129963
87163.7965,1.7772571
87400.3433,1.77495685
87672.6249,0.412510837
87794.3405,0.404490139
88010.4252,0.322949757
88199.095,0.355921521
87643.8517,1.50269857
87616.7279,1.86067999
87812.6398,1.50333875
87817.6939,1.86005042
87606.3693,1.7728976
87809.658,1.76959845
88000.5237,1.50363909
88001.6367,1.85886931
88193.7978,1.50152265
88187.9628,1.8573973
87998.9776,1.76593938
88184.0437,1.76264906
88389.5129,0.413893114
88556.0982,0.485323336
88812.6543,0.595776467
88918.1582,0.553098574
88385.9254,1.49883347
88379.6247,1.85598532
88575.5557,1.49563183
88574.0276,1.85459204
88372.0875,1.75904777
88565.0074,1.75484163
88781.25,1.49089563
88762.2607,1.85336844
88951.1927,1.48723606
88960.6598,1.85174597
88753.253,1.75032178
88950.0792,1.74527146
89189.0917,0.514021883
89302.6469,0.471780359
89551.4896,0.378694948
89760.0309,0.440770427
89164.6108,1.4823155
89149.8785,1.85013002
89337.2772,1.4775396
89357.6783,1.84840974
89139.5756,1.73969348
89341.8105,1.7332525
89549.5481,1.47336868
89549.2404,1.84601938
89751.6252,1.46610423
89744.4885,1.8444518
89536.1669,1.72611329
89732.8199,1.71898262
89942.5517,0.475598351
90148.2616,0.46655521
90442.5416,0.607497384
90427.8424,0.503514942
89937.0826,1.45940109
89948.8263,1.8415717
90152.7407,1.45275516
90146.2161,1.83672735
89931.7245,1.7107828
90123.4853,1.70156559
90383.6291,1.44207442
90335.7918,1.83366491
90518.6303,1.43287429
90544.5708,1.83161692
90309.8544,1.69174362
90523.8906,1.67995022
90713.2161,0.309517715
90942.8828,0.435350703
91137.9489,0.53946611
91346.6577,0.613612544
90725.4533,1.42208131
90729.9351,1.82877566
90943.7583,1.40736846
90915.2374,1.82447291
90717.1267,1.66597945
90900.0251,1.65158733
91147.6353,1.39180139
91106.427,1.81942818
91350.0474,1.37244211
91298.4844,1.81664479
91092.1153,1.63494145
91283.0208,1.61468773
91535.198,0.68673327
91752.2101,0.761126226
92005.2002,0.826267505
92025.0409,0.816491254
91556.2978,1.35083419
91490.2884,1.81397746
91758.9656,1.32589948
91682.5157,1.81202088
91474.271,1.59082652
91666.6292,1.56177783
